"OutdoorTemperature" "SolarRadiation" "WindSpeed" "Temperature_Indoor.T" "Conduction_wall1_outer.port_b.T" "Conduction_wall1_inner.port_b.T" "Conduction_wall1_outer.port_a.T" "Conduction_roof_outer.port_b.T" "Conduction_roof_inner.port_b.T" "Conduction_roof_outer.port_a.T" "two_single_ventilation1.Ventilation_rate.y"
290.2108312706797 192.0346983866736 1.064859780918148 291.7501780567654 291.6673885722944 291.7172952910227 290.6154115403055 297.9543997025057 297.9543737353071 297.9544307366077 0.09429410163888555
290.210831278889 192.0346989333287 1.064859783147637 291.7501780567654 291.6673885722944 291.7172952910227 290.615411545965 297.9543997025057 297.9543737353071 297.9544307366079 0.09429410160238164
290.253187559517 194.8551893214676 1.076371083037514 291.7808945723579 291.6660121663207 291.7352704134961 290.6442770474154 298.0647254584759 298.0646988464576 298.064757041956 0.09430238154352813
290.2531875676543 194.8551898743547 1.076371085567254 291.7808945723579 291.6660121663207 291.7352704134961 290.6442770530075 298.0647254584759 298.0646988464576 298.0647570419562 0.09430238150981213
290.2951511714749 197.7064093605903 1.08942794218105 291.811178901623 291.6647050892238 291.7530154429828 290.672806472612 298.1728091968546 298.1727819528584 298.1728413046501 0.09432254936600099
290.2951511714749 197.7064093605903 1.08942794218105 291.811178907409 291.6647050889767 291.7530154463745 290.6728064725439 298.1728092175209 298.1727819735245 298.1728413253162 0.09432254940295259
290.295151179553 197.7064099195432 1.089427944983584 291.811178907409 291.6647050889767 291.7530154463745 290.6728064780844 298.1728092175209 298.1727819735245 298.1728413253164 0.09432254937182091
290.3367828846545 200.5870564956692 1.103885220635969 291.8410462137784 291.663466433599 291.770539038004 290.7010763912477 298.2784629005677 298.278435038698 298.2784955122365 0.09435363614551365
290.3367828926837 200.587057060344 1.103885223682869 291.8410462137784 291.663466433599 291.770539038004 290.7010763967502 298.2784629005677 298.278435038698 298.2784955122367 0.09435363611676856
290.3781434771565 203.495828718332 1.119597345359984 291.8705054753582 291.6622953603548 291.7878461496982 290.7291605936235 298.3815878511397 298.381559386187 298.3816209505791 0.0943946132063383
290.3781434771565 203.495828718332 1.119597345359984 291.8705054809938 291.6622953601337 291.7878461530105 290.7291605935632 298.38158787085 298.3815594058972 298.3816209702894 0.09439461324231954
290.3781434851484 203.4958292884702 1.119597348623032 291.8705054809938 291.6622953601337 291.7878461530105 290.7291605990413 298.38158787085 298.3815594058972 298.3816209702895 0.09439461321575107
290.4192937270819 206.4314240202061 1.136417966081737 291.8995968055575 291.6611912041733 291.8049606014787 290.7571301593381 298.4822114264384 298.4821823731324 298.4822450013503 0.09444461603012186
290.4192937350489 206.4314245955965 1.136417969532758 291.8995968055575 291.6611912041733 291.8049606014787 290.7571301648058 298.4822114264384 298.4821823731324 298.4822450013505 0.09444461600550808
290.4602944125315 209.3925403929192 1.154199664406965 291.9283476654087 291.6601533789971 291.8218986253161 290.7850535018426 298.5804092344981 298.5803796071754 298.5804432762807 0.0945026512822803
290.4602944125315 209.3925403929192 1.154199664406965 291.9283476709197 291.6601533788016 291.8218986285644 290.7850535017898 298.5804092532904 298.5803796259676 298.5804432950728 0.09450265131744504
290.4602944204854 209.392540973313 1.1541996680173 291.9283476709197 291.6601533788016 291.8218986285644 290.78505350726 298.5804092532904 298.5803796259676 298.5804432950731 0.09450265129455424
290.5012063116063 212.3778758280987 1.172793713732088 291.9568119174425 291.6591814778634 291.8386924715338 290.8129964852933 298.6763478231387 298.6763176352076 298.6763823264845 0.09456783441083336
290.5012063195584 212.3778764132175 1.17279371747256 291.9568119174425 291.6591814778634 291.8386924715338 290.8129964907783 298.6763478231387 298.6763176352076 298.6763823264847 0.09456783438942165
